strain.list,lim,time,strain,bin,no.bands.list,rel.int
101-7803-A,A,NA,7803-A,1,0,0
101-7803-A,A,NA,7803-A,2,0,0
101-7803-A,A,NA,7803-A,3,0,0
101-7803-A,A,NA,7803-A,4,0,0
101-7803-A,A,NA,7803-A,5,0,0
101-7803-A,A,NA,7803-A,6,0,0
101-7803-A,A,NA,7803-A,7,0,0
101-7803-A,A,NA,7803-A,8,1,0.0351
101-7803-A,A,NA,7803-A,9,0,0
101-7803-A,A,NA,7803-A,10,0,0
101-7803-A,A,NA,7803-A,11,2,0.03755
101-7803-A,A,NA,7803-A,12,0,0
101-7803-A,A,NA,7803-A,13,0,0
101-7803-A,A,NA,7803-A,14,0,0
101-7803-A,A,NA,7803-A,15,2,0.0764
101-7803-A,A,NA,7803-A,16,1,0.0902
101-7803-A,A,NA,7803-A,17,0,0
104-21N2S1,N,21,21N2S1,1,0,0
104-21N2S1,N,21,21N2S1,2,0,0
104-21N2S1,N,21,21N2S1,3,0,0
104-21N2S1,N,21,21N2S1,4,0,0
104-21N2S1,N,21,21N2S1,5,0,0
104-21N2S1,N,21,21N2S1,6,0,0
104-21N2S1,N,21,21N2S1,7,0,0
104-21N2S1,N,21,21N2S1,8,0,0
104-21N2S1,N,21,21N2S1,9,0,0
104-21N2S1,N,21,21N2S1,10,0,0
104-21N2S1,N,21,21N2S1,11,2,0.3952
104-21N2S1,N,21,21N2S1,12,0,0
104-21N2S1,N,21,21N2S1,13,0,0
104-21N2S1,N,21,21N2S1,14,0,0
104-21N2S1,N,21,21N2S1,15,0,0
104-21N2S1,N,21,21N2S1,16,0,0
104-21N2S1,N,21,21N2S1,17,1,0.0148
105-21N2S3,N,21,21N2S3,1,0,0
105-21N2S3,N,21,21N2S3,2,0,0
105-21N2S3,N,21,21N2S3,3,0,0
105-21N2S3,N,21,21N2S3,4,0,0
105-21N2S3,N,21,21N2S3,5,0,0
105-21N2S3,N,21,21N2S3,6,1,0.0291
105-21N2S3,N,21,21N2S3,7,1,0.0155
105-21N2S3,N,21,21N2S3,8,0,0
105-21N2S3,N,21,21N2S3,9,0,0
105-21N2S3,N,21,21N2S3,10,1,0.0178
105-21N2S3,N,21,21N2S3,11,2,0.0817
105-21N2S3,N,21,21N2S3,12,0,0
105-21N2S3,N,21,21N2S3,13,0,0
105-21N2S3,N,21,21N2S3,14,1,0.0623
105-21N2S3,N,21,21N2S3,15,1,0.0854
105-21N2S3,N,21,21N2S3,16,0,0
105-21N2S3,N,21,21N2S3,17,1,0.0204
106-21N2S5,N,21,21N2S5,1,0,0
106-21N2S5,N,21,21N2S5,2,0,0
106-21N2S5,N,21,21N2S5,3,0,0
106-21N2S5,N,21,21N2S5,4,0,0
106-21N2S5,N,21,21N2S5,5,0,0
106-21N2S5,N,21,21N2S5,6,0,0
106-21N2S5,N,21,21N2S5,7,0,0
106-21N2S5,N,21,21N2S5,8,1,0.0033
106-21N2S5,N,21,21N2S5,9,0,0
106-21N2S5,N,21,21N2S5,10,2,0.08275
106-21N2S5,N,21,21N2S5,11,1,0.1238
106-21N2S5,N,21,21N2S5,12,0,0
106-21N2S5,N,21,21N2S5,13,1,0.0156
106-21N2S5,N,21,21N2S5,14,0,0
106-21N2S5,N,21,21N2S5,15,1,0.033
106-21N2S5,N,21,21N2S5,16,0,0
106-21N2S5,N,21,21N2S5,17,1,0.0351
107-21N3S2,N,21,21N3S2,1,0,0
107-21N3S2,N,21,21N3S2,2,0,0
107-21N3S2,N,21,21N3S2,3,1,0.0928
107-21N3S2,N,21,21N3S2,4,0,0
107-21N3S2,N,21,21N3S2,5,0,0
107-21N3S2,N,21,21N3S2,6,0,0
107-21N3S2,N,21,21N3S2,7,0,0
107-21N3S2,N,21,21N3S2,8,0,0
107-21N3S2,N,21,21N3S2,9,1,0.0355
107-21N3S2,N,21,21N3S2,10,1,0.1838
107-21N3S2,N,21,21N3S2,11,1,0.209
107-21N3S2,N,21,21N3S2,12,1,0.0317
107-21N3S2,N,21,21N3S2,13,1,0.0055
107-21N3S2,N,21,21N3S2,14,0,0
107-21N3S2,N,21,21N3S2,15,0,0
107-21N3S2,N,21,21N3S2,16,1,0.0135
107-21N3S2,N,21,21N3S2,17,1,0.047
108-21N3S3,N,21,21N3S3,1,0,0
108-21N3S3,N,21,21N3S3,2,1,0.1377
108-21N3S3,N,21,21N3S3,3,0,0
108-21N3S3,N,21,21N3S3,4,0,0
108-21N3S3,N,21,21N3S3,5,0,0
108-21N3S3,N,21,21N3S3,6,0,0
108-21N3S3,N,21,21N3S3,7,0,0
108-21N3S3,N,21,21N3S3,8,0,0
108-21N3S3,N,21,21N3S3,9,1,0.1269
108-21N3S3,N,21,21N3S3,10,1,0.2394
108-21N3S3,N,21,21N3S3,11,0,0
108-21N3S3,N,21,21N3S3,12,0,0
108-21N3S3,N,21,21N3S3,13,0,0
108-21N3S3,N,21,21N3S3,14,0,0
108-21N3S3,N,21,21N3S3,15,0,0
108-21N3S3,N,21,21N3S3,16,0,0
108-21N3S3,N,21,21N3S3,17,1,0.2819
103-01P5S1,P,01,01P5S1,1,0,0
103-01P5S1,P,01,01P5S1,2,0,0
103-01P5S1,P,01,01P5S1,3,0,0
103-01P5S1,P,01,01P5S1,4,0,0
103-01P5S1,P,01,01P5S1,5,0,0
103-01P5S1,P,01,01P5S1,6,0,0
103-01P5S1,P,01,01P5S1,7,0,0
103-01P5S1,P,01,01P5S1,8,0,0
103-01P5S1,P,01,01P5S1,9,0,0
103-01P5S1,P,01,01P5S1,10,1,0.0276
103-01P5S1,P,01,01P5S1,11,0,0
103-01P5S1,P,01,01P5S1,12,0,0
103-01P5S1,P,01,01P5S1,13,0,0
103-01P5S1,P,01,01P5S1,14,0,0
103-01P5S1,P,01,01P5S1,15,1,0.0681
103-01P5S1,P,01,01P5S1,16,0,0
103-01P5S1,P,01,01P5S1,17,0,0
112-21N5S5,N,21,21N5S5,1,0,0
112-21N5S5,N,21,21N5S5,2,0,0
112-21N5S5,N,21,21N5S5,3,1,0.0754
112-21N5S5,N,21,21N5S5,4,0,0
112-21N5S5,N,21,21N5S5,5,0,0
112-21N5S5,N,21,21N5S5,6,0,0
112-21N5S5,N,21,21N5S5,7,0,0
112-21N5S5,N,21,21N5S5,8,0,0
112-21N5S5,N,21,21N5S5,9,0,0
112-21N5S5,N,21,21N5S5,10,1,0.2953
112-21N5S5,N,21,21N5S5,11,0,0
112-21N5S5,N,21,21N5S5,12,1,0.0852
112-21N5S5,N,21,21N5S5,13,0,0
112-21N5S5,N,21,21N5S5,14,1,0.019
112-21N5S5,N,21,21N5S5,15,0,0
112-21N5S5,N,21,21N5S5,16,1,0.0561
112-21N5S5,N,21,21N5S5,17,0,0
114-21P2S2,P,21,21P2S2,1,0,0
114-21P2S2,P,21,21P2S2,2,0,0
114-21P2S2,P,21,21P2S2,3,1,0.0688
114-21P2S2,P,21,21P2S2,4,0,0
114-21P2S2,P,21,21P2S2,5,1,0.0123
114-21P2S2,P,21,21P2S2,6,0,0
114-21P2S2,P,21,21P2S2,7,0,0
114-21P2S2,P,21,21P2S2,8,0,0
114-21P2S2,P,21,21P2S2,9,0,0
114-21P2S2,P,21,21P2S2,10,0,0
114-21P2S2,P,21,21P2S2,11,0,0
114-21P2S2,P,21,21P2S2,12,1,0.0141
114-21P2S2,P,21,21P2S2,13,1,0.0391
114-21P2S2,P,21,21P2S2,14,1,0.0684
114-21P2S2,P,21,21P2S2,15,0,0
114-21P2S2,P,21,21P2S2,16,0,0
114-21P2S2,P,21,21P2S2,17,1,0.0221
117-21P4S3,P,21,21P4S3,1,0,0
117-21P4S3,P,21,21P4S3,2,1,0.1373
117-21P4S3,P,21,21P4S3,3,1,0.0859
117-21P4S3,P,21,21P4S3,4,0,0
117-21P4S3,P,21,21P4S3,5,1,0.0708
117-21P4S3,P,21,21P4S3,6,0,0
117-21P4S3,P,21,21P4S3,7,1,0.0401
117-21P4S3,P,21,21P4S3,8,0,0
117-21P4S3,P,21,21P4S3,9,1,0.0952
117-21P4S3,P,21,21P4S3,10,1,0.0482
117-21P4S3,P,21,21P4S3,11,0,0
117-21P4S3,P,21,21P4S3,12,0,0
117-21P4S3,P,21,21P4S3,13,0,0
117-21P4S3,P,21,21P4S3,14,1,0.0088
117-21P4S3,P,21,21P4S3,15,0,0
117-21P4S3,P,21,21P4S3,16,0,0
117-21P4S3,P,21,21P4S3,17,0,0
118-21P4S5,P,21,21P4S5,1,0,0
118-21P4S5,P,21,21P4S5,2,0,0
118-21P4S5,P,21,21P4S5,3,1,0.0853
118-21P4S5,P,21,21P4S5,4,0,0
118-21P4S5,P,21,21P4S5,5,1,0.0617
118-21P4S5,P,21,21P4S5,6,0,0
118-21P4S5,P,21,21P4S5,7,1,0.042
118-21P4S5,P,21,21P4S5,8,0,0
118-21P4S5,P,21,21P4S5,9,0,0
118-21P4S5,P,21,21P4S5,10,1,0.0705
118-21P4S5,P,21,21P4S5,11,0,0
118-21P4S5,P,21,21P4S5,12,1,0.051
118-21P4S5,P,21,21P4S5,13,1,0.0273
118-21P4S5,P,21,21P4S5,14,0,0
118-21P4S5,P,21,21P4S5,15,0,0
118-21P4S5,P,21,21P4S5,16,0,0
118-21P4S5,P,21,21P4S5,17,1,0.0223
119-21P5S1,P,21,21P5S1,1,0,0
119-21P5S1,P,21,21P5S1,2,0,0
119-21P5S1,P,21,21P5S1,3,0,0
119-21P5S1,P,21,21P5S1,4,0,0
119-21P5S1,P,21,21P5S1,5,0,0
119-21P5S1,P,21,21P5S1,6,0,0
119-21P5S1,P,21,21P5S1,7,0,0
119-21P5S1,P,21,21P5S1,8,0,0
119-21P5S1,P,21,21P5S1,9,1,0.1923
119-21P5S1,P,21,21P5S1,10,1,0.162
119-21P5S1,P,21,21P5S1,11,0,0
119-21P5S1,P,21,21P5S1,12,1,0.025
119-21P5S1,P,21,21P5S1,13,0,0
119-21P5S1,P,21,21P5S1,14,1,0.0273
119-21P5S1,P,21,21P5S1,15,0,0
119-21P5S1,P,21,21P5S1,16,0,0
119-21P5S1,P,21,21P5S1,17,1,0.1797
120-21P5S3,P,21,21P5S3,1,0,0
120-21P5S3,P,21,21P5S3,2,0,0
120-21P5S3,P,21,21P5S3,3,0,0
120-21P5S3,P,21,21P5S3,4,0,0
120-21P5S3,P,21,21P5S3,5,0,0
120-21P5S3,P,21,21P5S3,6,0,0
120-21P5S3,P,21,21P5S3,7,0,0
120-21P5S3,P,21,21P5S3,8,0,0
120-21P5S3,P,21,21P5S3,9,1,0.2705
120-21P5S3,P,21,21P5S3,10,0,0
120-21P5S3,P,21,21P5S3,11,0,0
120-21P5S3,P,21,21P5S3,12,1,0.0731
120-21P5S3,P,21,21P5S3,13,1,0.0892
120-21P5S3,P,21,21P5S3,14,0,0
120-21P5S3,P,21,21P5S3,15,0,0
120-21P5S3,P,21,21P5S3,16,0,0
120-21P5S3,P,21,21P5S3,17,1,0.138
209-19N5S2,N,19,19N5S2,1,0,0
209-19N5S2,N,19,19N5S2,2,0,0
209-19N5S2,N,19,19N5S2,3,0,0
209-19N5S2,N,19,19N5S2,4,0,0
209-19N5S2,N,19,19N5S2,5,1,0.125
209-19N5S2,N,19,19N5S2,6,0,0
209-19N5S2,N,19,19N5S2,7,0,0
209-19N5S2,N,19,19N5S2,8,0,0
209-19N5S2,N,19,19N5S2,9,1,0.192
209-19N5S2,N,19,19N5S2,10,1,0.2248
209-19N5S2,N,19,19N5S2,11,1,0.0244
209-19N5S2,N,19,19N5S2,12,0,0
209-19N5S2,N,19,19N5S2,13,0,0
209-19N5S2,N,19,19N5S2,14,0,0
209-19N5S2,N,19,19N5S2,15,1,0.0206
209-19N5S2,N,19,19N5S2,16,0,0
209-19N5S2,N,19,19N5S2,17,2,0.12575
210-19N2S1,N,19,19N2S1,1,0,0
210-19N2S1,N,19,19N2S1,2,0,0
210-19N2S1,N,19,19N2S1,3,0,0
210-19N2S1,N,19,19N2S1,4,0,0
210-19N2S1,N,19,19N2S1,5,0,0
210-19N2S1,N,19,19N2S1,6,0,0
210-19N2S1,N,19,19N2S1,7,0,0
210-19N2S1,N,19,19N2S1,8,0,0
210-19N2S1,N,19,19N2S1,9,1,0.1603
210-19N2S1,N,19,19N2S1,10,1,0.3224
210-19N2S1,N,19,19N2S1,11,1,0.1839
210-19N2S1,N,19,19N2S1,12,0,0
210-19N2S1,N,19,19N2S1,13,0,0
210-19N2S1,N,19,19N2S1,14,0,0
210-19N2S1,N,19,19N2S1,15,0,0
210-19N2S1,N,19,19N2S1,16,0,0
210-19N2S1,N,19,19N2S1,17,0,0
109-21N3S4,N,21,21N3S4,1,0,0
109-21N3S4,N,21,21N3S4,2,0,0
109-21N3S4,N,21,21N3S4,3,0,0
109-21N3S4,N,21,21N3S4,4,0,0
109-21N3S4,N,21,21N3S4,5,0,0
109-21N3S4,N,21,21N3S4,6,1,0.0604
109-21N3S4,N,21,21N3S4,7,0,0
109-21N3S4,N,21,21N3S4,8,1,0.0249
109-21N3S4,N,21,21N3S4,9,1,0.0541
109-21N3S4,N,21,21N3S4,10,1,0.0776
109-21N3S4,N,21,21N3S4,11,1,0.0443
109-21N3S4,N,21,21N3S4,12,0,0
109-21N3S4,N,21,21N3S4,13,1,0.0411
109-21N3S4,N,21,21N3S4,14,1,0.0516
109-21N3S4,N,21,21N3S4,15,1,0.0175
109-21N3S4,N,21,21N3S4,16,0,0
109-21N3S4,N,21,21N3S4,17,2,0.052
113-21P2S1,P,21,21P2S1,1,0,0
113-21P2S1,P,21,21P2S1,2,0,0
113-21P2S1,P,21,21P2S1,3,1,0.0655
113-21P2S1,P,21,21P2S1,4,1,0.0924
113-21P2S1,P,21,21P2S1,5,1,0.0914
113-21P2S1,P,21,21P2S1,6,1,0.104
113-21P2S1,P,21,21P2S1,7,1,0.062
113-21P2S1,P,21,21P2S1,8,1,0.0396
113-21P2S1,P,21,21P2S1,9,1,0.0201
113-21P2S1,P,21,21P2S1,10,1,0.0157
113-21P2S1,P,21,21P2S1,11,0,0
113-21P2S1,P,21,21P2S1,12,1,0.0311
113-21P2S1,P,21,21P2S1,13,0,0
113-21P2S1,P,21,21P2S1,14,1,0.028
113-21P2S1,P,21,21P2S1,15,1,0.0438
113-21P2S1,P,21,21P2S1,16,0,0
113-21P2S1,P,21,21P2S1,17,1,0.0262
115-21P2S4,P,21,21P2S4,1,0,0
115-21P2S4,P,21,21P2S4,2,1,0.0684
115-21P2S4,P,21,21P2S4,3,1,0.0822
115-21P2S4,P,21,21P2S4,4,0,0
115-21P2S4,P,21,21P2S4,5,1,0.1214
115-21P2S4,P,21,21P2S4,6,1,0.0573
115-21P2S4,P,21,21P2S4,7,1,0.0598
115-21P2S4,P,21,21P2S4,8,1,0.0462
115-21P2S4,P,21,21P2S4,9,1,0.0178
115-21P2S4,P,21,21P2S4,10,0,0
115-21P2S4,P,21,21P2S4,11,0,0
115-21P2S4,P,21,21P2S4,12,0,0
115-21P2S4,P,21,21P2S4,13,0,0
115-21P2S4,P,21,21P2S4,14,1,0.0054
115-21P2S4,P,21,21P2S4,15,1,0.0122
115-21P2S4,P,21,21P2S4,16,0,0
115-21P2S4,P,21,21P2S4,17,1,0.0187
116-21P4S2,P,21,21P4S2,1,0,0
116-21P4S2,P,21,21P4S2,2,0,0
116-21P4S2,P,21,21P4S2,3,2,0.09665
116-21P4S2,P,21,21P4S2,4,1,0.0724
116-21P4S2,P,21,21P4S2,5,1,0.0706
116-21P4S2,P,21,21P4S2,6,1,0.0591
116-21P4S2,P,21,21P4S2,7,1,0.0443
116-21P4S2,P,21,21P4S2,8,1,0.0327
116-21P4S2,P,21,21P4S2,9,1,0.0327
116-21P4S2,P,21,21P4S2,10,0,0
116-21P4S2,P,21,21P4S2,11,0,0
116-21P4S2,P,21,21P4S2,12,0,0
116-21P4S2,P,21,21P4S2,13,1,0.025
116-21P4S2,P,21,21P4S2,14,0,0
116-21P4S2,P,21,21P4S2,15,1,0.0489
116-21P4S2,P,21,21P4S2,16,1,0.0315
116-21P4S2,P,21,21P4S2,17,1,0.0137
214-19P2S2,P,19,19P2S2,1,0,0
214-19P2S2,P,19,19P2S2,2,0,0
214-19P2S2,P,19,19P2S2,3,0,0
214-19P2S2,P,19,19P2S2,4,0,0
214-19P2S2,P,19,19P2S2,5,0,0
214-19P2S2,P,19,19P2S2,6,1,0.0431
214-19P2S2,P,19,19P2S2,7,1,0.1793
214-19P2S2,P,19,19P2S2,8,1,0.0691
214-19P2S2,P,19,19P2S2,9,1,0.0389
214-19P2S2,P,19,19P2S2,10,1,0.0283
214-19P2S2,P,19,19P2S2,11,0,0
214-19P2S2,P,19,19P2S2,12,0,0
214-19P2S2,P,19,19P2S2,13,0,0
214-19P2S2,P,19,19P2S2,14,1,0.0172
214-19P2S2,P,19,19P2S2,15,1,0.0213
214-19P2S2,P,19,19P2S2,16,0,0
214-19P2S2,P,19,19P2S2,17,0,0
216-01N2S3,N,01,01N2S3,1,0,0
216-01N2S3,N,01,01N2S3,2,0,0
216-01N2S3,N,01,01N2S3,3,0,0
216-01N2S3,N,01,01N2S3,4,0,0
216-01N2S3,N,01,01N2S3,5,0,0
216-01N2S3,N,01,01N2S3,6,0,0
216-01N2S3,N,01,01N2S3,7,0,0
216-01N2S3,N,01,01N2S3,8,0,0
216-01N2S3,N,01,01N2S3,9,0,0
216-01N2S3,N,01,01N2S3,10,2,0.0952
216-01N2S3,N,01,01N2S3,11,1,0.2842
216-01N2S3,N,01,01N2S3,12,0,0
216-01N2S3,N,01,01N2S3,13,0,0
216-01N2S3,N,01,01N2S3,14,0,0
216-01N2S3,N,01,01N2S3,15,0,0
216-01N2S3,N,01,01N2S3,16,0,0
216-01N2S3,N,01,01N2S3,17,1,0.0052
221-01P4S5,P,01,01P4S5,1,0,0
221-01P4S5,P,01,01P4S5,2,0,0
221-01P4S5,P,01,01P4S5,3,0,0
221-01P4S5,P,01,01P4S5,4,0,0
221-01P4S5,P,01,01P4S5,5,0,0
221-01P4S5,P,01,01P4S5,6,0,0
221-01P4S5,P,01,01P4S5,7,0,0
221-01P4S5,P,01,01P4S5,8,0,0
221-01P4S5,P,01,01P4S5,9,0,0
221-01P4S5,P,01,01P4S5,10,0,0
221-01P4S5,P,01,01P4S5,11,0,0
221-01P4S5,P,01,01P4S5,12,0,0
221-01P4S5,P,01,01P4S5,13,1,0.2366
221-01P4S5,P,01,01P4S5,14,0,0
221-01P4S5,P,01,01P4S5,15,0,0
221-01P4S5,P,01,01P4S5,16,0,0
221-01P4S5,P,01,01P4S5,17,0,0
223-01N2S4,N,01,01N2S4,1,0,0
223-01N2S4,N,01,01N2S4,2,0,0
223-01N2S4,N,01,01N2S4,3,0,0
223-01N2S4,N,01,01N2S4,4,0,0
223-01N2S4,N,01,01N2S4,5,0,0
223-01N2S4,N,01,01N2S4,6,0,0
223-01N2S4,N,01,01N2S4,7,0,0
223-01N2S4,N,01,01N2S4,8,0,0
223-01N2S4,N,01,01N2S4,9,0,0
223-01N2S4,N,01,01N2S4,10,0,0
223-01N2S4,N,01,01N2S4,11,0,0
223-01N2S4,N,01,01N2S4,12,0,0
223-01N2S4,N,01,01N2S4,13,1,0.2897
223-01N2S4,N,01,01N2S4,14,1,0.0907
223-01N2S4,N,01,01N2S4,15,0,0
223-01N2S4,N,01,01N2S4,16,0,0
223-01N2S4,N,01,01N2S4,17,0,0
224-01N5S4,N,01,01N5S4,1,0,0
224-01N5S4,N,01,01N5S4,2,0,0
224-01N5S4,N,01,01N5S4,3,0,0
224-01N5S4,N,01,01N5S4,4,0,0
224-01N5S4,N,01,01N5S4,5,0,0
224-01N5S4,N,01,01N5S4,6,0,0
224-01N5S4,N,01,01N5S4,7,0,0
224-01N5S4,N,01,01N5S4,8,0,0
224-01N5S4,N,01,01N5S4,9,0,0
224-01N5S4,N,01,01N5S4,10,0,0
224-01N5S4,N,01,01N5S4,11,0,0
224-01N5S4,N,01,01N5S4,12,0,0
224-01N5S4,N,01,01N5S4,13,0,0
224-01N5S4,N,01,01N5S4,14,2,0.16435
224-01N5S4,N,01,01N5S4,15,0,0
224-01N5S4,N,01,01N5S4,16,0,0
224-01N5S4,N,01,01N5S4,17,0,0
225-19N5S1,N,19,19N5S1,1,0,0
225-19N5S1,N,19,19N5S1,2,0,0
225-19N5S1,N,19,19N5S1,3,0,0
225-19N5S1,N,19,19N5S1,4,0,0
225-19N5S1,N,19,19N5S1,5,0,0
225-19N5S1,N,19,19N5S1,6,0,0
225-19N5S1,N,19,19N5S1,7,0,0
225-19N5S1,N,19,19N5S1,8,1,0.0509
225-19N5S1,N,19,19N5S1,9,1,0.1967
225-19N5S1,N,19,19N5S1,10,0,0
