"strain.list","band.list","peak.list"
"O55:B5",0.4321,67.8504184657956
"O55:B5",1.9573,178.574679404517
"O55:B5",2.1692,37.991780903805
"O55:B5",2.6183,86.9655343534891
"O55:B5",2.6606,87.6541091660503
"O55:B5",2.8555,260.807298346577
"O55:B5",3.0165,160.013598588523
"O55:B5",3.1775,100.771888782342
"O55:B5",3.347,81.7258425211984
"O55:B5",3.4402,81.4902766764637
"O55:B5",3.4571,81.4860973645089
"O55:B5",4.135,65.262404182571
"O55:B5",4.3638,107.064901760336
"O55:B5",4.7281,256.670397913223
"O55:B5",4.8722,58.3044137674304
"O55:B5",5.0416,71.4986128268406
"O55:B5",5.1687,73.9069894331678
"O55:B5",5.3891,51.7534499658222
"O55:B5",5.6517,60.7462188919947
"01N3S2",1.6777,65.0044848627068
"01N3S2",2.6945,242.769894310592
"01N3S2",2.7708,239.32604139797
"01N3S2",3.2792,54.9032969569696
"01N3S2",3.508,46.2774764927165
"01N3S2",3.6266,48.2583866112384
"01N3S2",3.7876,51.0752840625083
"01N3S2",3.8723,52.6642623886659
"01N3S2",4.0079,61.7082031115903
"01N3S2",4.1604,83.7343041559936
"01N3S2",4.3384,70.0987680182027
"01N3S2",4.6349,102.867833636021
"01N3S2",4.8213,130.772193799393
"01N3S2",5.0416,159.218078027415
"01N3S2",5.2365,43.1869898301514
"01N3S2",5.262,43.4139506576179
"01N3S2",5.3467,44.1771019568067
"01N3S2",5.6517,43.5466991232438
"19N1S4",1.4913,28.2526590220887
"19N1S4",1.7964,29.2364187900744
"19N1S4",1.8472,29.2003190397389
"19N1S4",2.3471,37.5633057361104
"19N1S4",2.4234,37.5816167963735
"19N1S4",2.8132,29.6664970175465
"19N1S4",3.1097,26.4625244354248
"19N1S4",3.2961,26.3212448172624
"19N1S4",3.508,27.7148952366539
"19N1S4",3.6774,27.8692188762825
"19N1S4",3.8045,26.7450203786071
"19N1S4",4.4146,33.0677254074054
"19N1S4",4.4994,36.5357856447978
"19N1S4",5.1264,58.8649545952338
"19N1S4",5.2281,44.4880122060447
"19N1S4",5.6602,40.8578558207923
"01N3S4",1.8048,27.0461317544146
"01N3S4",1.9319,28.2993582433766
"01N3S4",2.1692,26.7383638367428
"01N3S4",2.3641,27.218800272554
"01N3S4",2.4657,27.2446137078153
"01N3S4",2.4912,27.2439457039153
"01N3S4",2.6522,27.5844878923778
"01N3S4",2.9318,34.3398530756767
"01N3S4",4.1858,27.7780557275985
"01N3S4",4.5587,30.8278564967457
"01N3S4",5.1264,100.465674798457
"01N3S4",5.2281,46.382563422306
"01N3S4",5.262,46.7808497855868
"01N3S4",5.4314,41.4608441945945
"01N3S4",5.6856,37.031573689581
"01P5S4",1.3557,25.8696206761644
"01P5S4",1.4828,30.4469502145106
"01P5S4",2.1777,26.4448037585271
"01P5S4",2.2709,26.2509474979992
"01P5S4",2.4657,26.9376367447835
"01P5S4",2.7454,26.3219732109167
"01P5S4",2.8979,25.9520660234458
"01P5S4",3.0419,25.9575522207487
"01P5S4",3.3809,28.3131340121215
"01P5S4",3.6351,31.9293638915128
"01P5S4",3.7706,28.990653443195
"01P5S4",4.457,35.6672918372713
"01P5S4",4.9993,27.2745945763339
"01P5S4",5.1264,77.0843107257013
"01P5S4",5.2365,47.8092050703511
"01P5S4",5.6772,41.5488677537191
"19P2S4",0.1356,27.0491122642905
"19P2S4",1.4405,29.1280982749375
"19P2S4",1.4828,29.4708465094692
"19P2S4",2.0675,28.2223344056133
"19P2S4",2.2624,27.8261934828246
"19P2S4",2.5166,26.2434740447134
"19P2S4",2.7877,25.8128731169774
"19P2S4",5.1349,55.5090947542599
"19P2S4",5.2281,40.7605576946513
"19P2S4",5.3721,42.8290407660297
"19P2S4",5.6856,39.8643122051408
"19P5S3",0.483,29.6649982833645
"19P5S3",0.6186,26.630763653417
"19P5S3",1.0253,26.7189410973292
"19P5S3",1.3049,29.6716845891261
"19P5S3",1.4659,31.2605649894089
"19P5S3",2.3895,45.8288341942903
"19P5S3",2.9148,26.6785961494271
"19P5S3",3.1775,27.2973809731455
"19P5S3",3.3724,27.0751162502449
"19P5S3",4.135,38.599495599171
"19P5S3",4.4316,36.8320391165028
"19P5S3",5.1264,56.5161523804063
"19P5S3",5.6517,36.8367907069767
"19P5S1",0.2034,30.9394906481949
"19P5S1",0.3135,33.0650476776592
"19P5S1",0.6016,26.477556148354
"19P5S1",0.6609,26.456623465931
"19P5S1",0.8134,27.4763447273856
"19P5S1",1.0422,27.1217497126903
"19P5S1",1.1354,29.1239606995878
"19P5S1",1.2625,27.9357427298629
"19P5S1",1.6862,77.0353352667997
"19P5S1",2.4912,191.163271868815
"19P5S1",3.1097,42.2542622781234
"19P5S1",3.33,39.130665741821
"19P5S1",3.7791,47.2090662333519
"19P5S1",3.9655,63.9899086027841
"19P5S1",4.0842,66.2844886237377
"19P5S1",4.4061,33.6459736871608
"19P5S1",5.0925,137.796107995075
"19P5S1",5.2365,86.4121091502053
"19P5S1",5.6094,48.5423031698238
"01P2S1",1.4744,27.6836594283116
"01P2S1",2.2539,32.03023084306
"01P2S1",2.398,35.1207546018287
"01P2S1",2.4742,35.5006448467786
"01P2S1",2.8894,26.3208479173897
"01P2S1",3.3724,26.014488135846
"01P2S1",3.813,27.5400885624785
"01P2S1",3.9655,25.7483938642327
"01P2S1",3.991,25.7662757626965
"01P2S1",4.1265,29.2318178071029
"01P2S1",4.4316,26.5890622474192
"01P2S1",5.1349,71.556021512175
"01P2S1",5.2365,40.660050608699
"01P2S1",5.262,41.3399127066041
"01P2S1",5.4145,42.1431811359444
"01P2S1",5.5162,40.3570043499859
"01P2S1",5.6602,40.1378665233413
"19N5S2",0.1102,30.4453890208084
"19N5S2",0.2203,26.4383219066494
"19N5S2",1.4574,28.6849164828838
"19N5S2",2.1183,26.1501609311655
"19N5S2",2.8386,26.1282494020202
"19N5S2",4.4061,30.9332695921412
"19N5S2",5.1433,45.9987491837948
"19N5S2",5.262,40.8715688762391
"19N5S2",5.6517,36.1054297640887
"19N2S1",0.1356,30.1624502290848
"19N2S1",1.4913,33.8209963637594
"19N2S1",1.5676,32.7467300151269
"19N2S1",1.8557,36.7595003030902
"19N2S1",2.076,60.8091292464967
"19N2S1",2.4996,68.4915237572061
"19N2S1",2.9064,117.906923107713
"19N2S1",2.9572,124.051415905563
"19N2S1",3.1097,41.5798988863579
"19N2S1",3.2199,44.6610415356141
"19N2S1",3.4571,35.8058647926522
"19N2S1",3.7537,39.8383471302355
"19N2S1",4.1265,80.4734842829682
"19N2S1",4.5248,44.2689398405733
"19N2S1",5.1687,85.1452638800144
"19N2S1",5.2535,71.5343784307942
"19N2S1",5.6517,39.6094725913478
